city,entity_id,__last_seen,text,region,note,street,postal_code,country_code,country_name,street_2,__first_seen
Damascus,eu-eeas-sanctions.6835,2018-05-01 01:10:08.216614,,,,Al Watan Newspaper – Duty Free Zone,,SY,SYR,,2018-04-12 07:36:38.106507
Tehran,eu-eeas-sanctions.6670,2018-05-01 01:10:09.000757,,,,"3 Shahid Hamid Sadigh Alley [Building 3], Shariati Street",,IR,IRN,,2018-04-12 07:36:37.681143
"Sumber Agung Magetan, East Java",eu-eeas-sanctions.6945,2018-05-01 01:10:09.797122,,,,Podok Pesantren AL Wayain Ngrandu,,ID,IDN,,2018-04-12 07:36:40.165195
"Tongan-dong, Central District, Pyongyang",eu-eeas-sanctions.6855,2018-05-01 01:10:09.864118,,,,,,KP,PRK,,2018-04-12 07:36:38.436976
"Mangungdae-gu, Pyongyang",eu-eeas-sanctions.6855,2018-05-01 01:10:09.880722,,,,,,KP,PRK,,2018-04-12 07:36:38.495250
"Mangyongdae District, Pyongyang",eu-eeas-sanctions.6855,2018-05-01 01:10:09.897432,,,,,,KP,PRK,,2018-04-12 07:36:38.556364
"Majengo area, Mombasa",eu-eeas-sanctions.7166,2018-05-01 01:10:11.594628,,,,,,KE,KEN,,2018-04-12 07:36:44.382586
"Hammam Lif, Ben Arous",eu-eeas-sanctions.7478,2018-05-01 01:10:15.856191,,,,60 Rue de la Libye,,TN,TUN,,2018-04-12 07:37:46.437855
,eu-eeas-sanctions.7478,2018-05-01 01:10:15.918542,,,,,,LY,LBY,,2018-04-12 07:37:46.459372
,eu-eeas-sanctions.7578,2018-05-01 01:10:17.511103,,,,,,,,,2018-04-12 07:37:48.146026
"Al Mukalla, Hadramawt province",eu-eeas-sanctions.106540,2018-05-01 01:10:17.577975,,,,,,YE,YEM,,2018-04-12 07:37:55.897552
,eu-eeas-sanctions.107691,2018-05-01 01:10:17.941186,,,,,,LY,LBY,,2018-04-12 07:37:52.676768
,eu-eeas-sanctions.107850,2018-05-01 01:10:18.553720,,,,,,KP,PRK,,2018-04-12 07:37:54.477306
