entity_id,description,__last_seen,place,country_code,country_name,quality,__first_seen
us-ofac.b0c491ff89e53f2a534d0f4144c839f8e5110ab6,,2018-05-03 10:50:12.175511,"Petrov Gaj, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:50.993970
us-ofac.320650c6d431454e98584e11424ca686144c4d46,,2018-05-03 10:50:12.767185,"Murgas, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:50.177092
us-ofac.49aa182f10e94c33af423e730a65b665f4e473a7,,2018-05-03 10:50:14.892083,Drenovc,,,strong,2018-04-12 06:13:51.306349
us-ofac.15a01a69cb587734601b23c12b51b67e3d5d7bed,,2018-05-03 10:50:16.283443,"Racak, Serbia and Montenegro",,,strong,2018-04-12 06:13:50.429831
us-ofac.3fc25cfa958f3fe9c4582e4b54c445946a51b3f6,,2018-05-03 10:50:24.244832,"Lamovita, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:52.148856
us-ofac.bae76b8c47d250d63230d26a599464c084f325b4,,2018-05-03 10:50:29.684906,"Zabljak, Serbia and Montenegro",,,strong,2018-04-12 06:13:50.806171
us-ofac.7976649e859aeb94953af79ca6009ffdb82d48bb,,2018-05-03 10:50:30.926753,"Trebica, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:50.806182
us-ofac.ea99a5bdcbacc7fade5876e38fa3fac5216fe643,,2018-05-03 10:50:32.168129,"Dimce, Serbia and Montenegro",,,strong,2018-04-12 06:13:51.330587
us-ofac.1024313894993033fec0d4d3590c23f4c6ab4441,,2018-05-03 10:50:35.165123,"Brusna, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:52.281045
us-ofac.769608a778bb7504ab590d88c778c8614c54739f,,2018-05-03 10:50:36.601318,Sarajevo Bosnia-Herzegovina,,,strong,2018-04-12 06:13:51.680637
us-ofac.eb059352ce2195d0bf3cf7cdb8281ca9d846fada,,2018-05-03 10:50:39.090280,"Sinaloa, Mexico",,,strong,2018-04-12 06:13:52.322627
us-ofac.7f38dbd8f8372fbd38e4bdce654dcadb6e632279,,2018-05-03 10:51:09.009641,"Dujail, Iraq",,,strong,2018-04-12 06:13:53.224649
us-ofac.614fd391774aa069e786d054eb5c42a8c5fddae2,,2018-05-03 10:51:18.734539,"Makassar, South Sulawesi, Indonesia",,,strong,2018-04-12 06:13:53.224291
us-ofac.9e9880f7b8830e9f90391571481db4ffdfb5007a,,2018-05-03 10:51:22.376141,"Lanao del Sur, Philippines",,,strong,2018-04-12 06:13:53.607216
us-ofac.42274cf5aa968a1d44745288a5d08bc84ec72971,,2018-05-03 10:51:34.058627,"Poshok, Iraq",,,strong,2018-04-12 06:13:55.428951
us-ofac.f4b94714932f01b4ef85e26a7d2a27bdfb5eda36,,2018-05-03 10:51:35.577116,"Tunisi, Tunisia",,,strong,2018-04-12 06:13:54.299141
us-ofac.4483874a5797b5f36cd215f157297f0056c7beff,,2018-05-03 10:51:47.093414,"Kraljevo, Serbia",,,strong,2018-04-12 06:13:54.598887
us-ofac.eb4e300aa02ecd8730dfe63e5d942b9707323535,,2018-05-03 10:51:55.409490,"Monterrey, Casanare, Colombia",,,strong,2018-04-12 06:13:56.338734
us-ofac.19fbebf5967667b0d1fa6e9f7114f34582009a3d,,2018-05-03 10:51:56.493216,"El Paujil, Caqueta, Colombia",,,strong,2018-04-12 06:13:55.224195
us-ofac.179aedb20a0927d28a03e96a9555724c157860ea,,2018-05-03 10:52:09.675657,"Kirkuk, Iraq",,,strong,2018-04-12 06:13:57.047256
us-ofac.a9945b16202eea0ae127c652dba95b82c458cc30,,2018-05-03 10:52:16.133705,Algiers Algeria,,,strong,2018-04-12 06:13:55.761530
us-ofac.1a578d46457c91750b529697a072919fe321d1ba,,2018-05-03 10:48:19.589041,"Vergara, Guipuzcoa Province, Spain",,,strong,2018-04-12 06:13:45.269996
us-ofac.35628cadb0db318ac50c410475de302be444152b,,2018-05-03 10:48:31.022408,"Bilbao Vizcaya Province, Spain",,,strong,2018-04-12 06:13:46.451195
us-ofac.e1416394d78bd7c03f9b025056cc3b61a3fd1296,,2018-05-03 10:51:34.743787,"Karkuk, Iraq",,,strong,2018-04-12 06:13:54.275415
us-ofac.2ac1caf31195284e3e6cedaa165048785ad88cf1,,2018-05-03 10:51:58.093021,"San Martin, Meta, Colombia",,,strong,2018-04-12 06:13:55.357412
us-ofac.d477768f5b957283f3f2a9f9fe8f95e823a9bcef,,2018-05-03 10:52:16.824728,"Annaba, Algeria",,,strong,2018-04-12 06:13:55.783480
us-ofac.dfe72ec5527f0dfa557f7b5ce839e88737babd92,,2018-05-03 10:52:28.900003,Mexico,,,strong,2018-04-12 06:13:55.390478
us-ofac.487e3e32e1eca01db82d810e47807eeea3f046b5,,2018-05-03 10:52:30.699932,Jamaica,,,strong,2018-04-12 06:13:56.672615
us-ofac.05d8a81c68dad318568d7fa8bc296c39e35be10c,,2018-05-03 10:52:32.341539,"Juanjui, San Martin, Peru",,,strong,2018-04-12 06:13:56.905645
us-ofac.4891a7b9571649c974f75cbcb70cbd85b0fed7a3,,2018-05-03 10:55:15.668677,"Cali, Colombia",,,strong,2018-04-12 06:14:02.182111
us-ofac.4891a7b9571649c974f75cbcb70cbd85b0fed7a3,,2018-05-03 10:55:15.755478,"Buga, Valle, Colombia",,,weak,2018-04-12 06:14:02.251916
us-ofac.fcf8811d424eff3f54d68c9e6ef91b9386d13eae,,2018-05-03 10:55:21.114669,"Bulanza, Lantawan, Basilan, the Philippines",,,strong,2018-04-12 06:14:02.140639
us-ofac.c97202de29103f0b71be01b8ef96b2a59302691a,,2018-05-03 10:55:23.829207,"Kirkuk, Iraq",,,strong,2018-04-12 06:14:01.610403
us-ofac.0fcdc141f4cb79374e30df6ab6dce7d45434dea4,,2018-05-03 10:55:32.150487,"Jombang, East Java, Indonesia",,,strong,2018-04-12 06:14:02.349980
us-ofac.80e903b6ebc97e741111c8cc29b69628a94217ff,,2018-05-03 10:55:59.668379,"Albaouga, Sudan",,,weak,2018-04-12 06:14:03.199662
us-ofac.798da9f9f062fa5740ea4813d3fcd5b8f599c8bf,,2018-05-03 10:57:04.062588,"Manzanares, Caldas, Colombia",,,strong,2018-04-12 06:14:14.328834
us-ofac.1ba2887482035f068e8310fafb866ba7e461dbb4,,2018-05-03 10:57:06.393004,Colombia,,,strong,2018-04-12 06:14:12.219275
us-ofac.99382e3399ed1eb1213c67f81b657bd106e31eb3,,2018-05-03 10:57:12.637172,"Bogota, Colombia",,,strong,2018-04-12 06:14:13.052549
us-ofac.9f68aea625192efdfbc828c2e5119c8f1ed52b5c,,2018-05-03 10:57:14.609399,"Barranquilla, Colombia",,,strong,2018-04-12 06:14:11.838100
us-ofac.ad1cd0260ce20f8807b093c356b4d971920a18f0,,2018-05-03 10:57:15.903953,Colombia,,,strong,2018-04-12 06:14:14.720865
us-ofac.37ceb3c332a687fcd2d8a81cf573a0eec0f9d7bb,,2018-05-03 10:57:34.819887,"Baghdad, Iraq",,,strong,2018-04-12 06:14:12.263772
us-ofac.c2d04852328c31187ac6667c116fa6daa377079c,,2018-05-03 10:58:15.793327,"Cali, Colombia",,,strong,2018-04-12 06:14:14.904011
us-ofac.c9cb5609cb11368b964ec91f37d0ebff4657ca15,,2018-05-03 10:58:38.008785,"Savsat, Turkey",,,strong,2018-04-12 06:14:15.878902
us-ofac.9527d4a20229a7e5f058b907e528181cce60fcc2,,2018-05-03 10:58:52.967034,"Meftah, Algeria",,,strong,2018-04-12 06:14:16.958357
us-ofac.9527d4a20229a7e5f058b907e528181cce60fcc2,,2018-05-03 10:58:53.058566,"Khemis El Khechna, Algeria",,,weak,2018-04-12 06:14:17.034862
us-ofac.8bd6514cd366d88c2f40173c09715fd0898b6d03,,2018-05-03 10:59:47.549562,"Venecia, Cundinamarca, Colombia",,,strong,2018-04-12 06:14:18.067195
us-ofac.7a009806cb486192d882d0e48f8b4235cb51eff2,,2018-05-03 11:00:23.966400,"Zeribet El Oued, Biskra, Algeria",,,strong,2018-04-12 06:14:19.118740
us-ofac.8a5d1165b192c3c772bf42188beaab5f11e1253e,,2018-05-03 11:00:26.833594,"Touggourt, Ouargla, Algeria",,,strong,2018-04-12 06:14:18.835118
us-ofac.e6729d7e60854b1c104b2b3bff9e12cd9c5bac55,,2018-05-03 11:00:34.078160,"Santana, Boyaca, Colombia",,,strong,2018-04-12 06:14:22.785864
us-ofac.eea3d27b79dfbb9e9dad26cc1bd8ee1b11969596,,2018-05-03 11:00:43.995467,"Culiacan, Sinaloa, Mexico",,,strong,2018-04-12 06:14:20.409945
us-ofac.5f0a09854fab215bee702c4031e6269706126143,,2018-05-03 11:01:00.370624,"al 'Amarah, Iraq",,,strong,2018-04-12 06:14:19.859620
us-ofac.5f0a09854fab215bee702c4031e6269706126143,,2018-05-03 11:01:00.458683,"al Kalamiy, Iraq",,,weak,2018-04-12 06:14:19.876432
us-ofac.9dc93906a4b18946eba6591e946983c54dda77da,,2018-05-03 11:01:47.773783,"Casablanca, Morocco",,,strong,2018-04-12 06:14:21.865362
us-ofac.b2b145879929bf1511146dacd40592abe123d243,,2018-05-03 11:13:43.670650,"Cairo, Egypt",,,strong,2018-04-12 06:14:52.623757
us-ofac.56267cbecefcca9eebcead6736ff4e6698ca0ef1,,2018-05-03 11:13:47.775975,"Granada, Antioquia, Colombia",,,strong,2018-04-12 06:14:52.193106
us-ofac.5be6dc0ac6283884eb96c0799dbea461e1a19a22,,2018-05-03 10:48:17.338824,"Durango, Vizcaya Province, Spain",,,strong,2018-04-12 06:13:45.193742
us-ofac.f6b829cc33ca191dfafa943efef92bd4c8d594b4,,2018-05-03 10:48:18.638837,"Vergara, Guipuzcoa Province, Spain",,,strong,2018-04-12 06:13:45.218756
us-ofac.cf8cd4753a09d0c8997fda633726d87ebeaf1b2d,,2018-05-03 10:48:22.480476,"San Sebastian, Guipuzcoa Province, Spain",,,strong,2018-04-12 06:13:45.411230
us-ofac.5cb63c0d0d40e0a3caf019a5164a80bc4c5768b3,,2018-05-03 10:48:31.080673,"Baracaldo Vizcaya Province, Spain",,,strong,2018-04-12 06:13:45.585545
us-ofac.0220ffdb41f44e4856a42a6c84ce024fafb77b25,,2018-05-03 10:49:07.356054,"Cianjur, West Java, Indonesia",,,strong,2018-04-12 06:13:48.213632
us-ofac.439f53471fadac9c69a487e492d474a6bc0191d2,,2018-05-03 10:49:46.568208,"Ahatovici, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:49.279377
us-ofac.6b149275a91b4378e03ea44478ed43348986fe9a,,2018-05-03 10:49:54.342892,"Bratunac, Bosnia-Herzegovina",,,strong,2018-04-12 06:13:51.507239
us-ofac.e0175d532fd4e659af11e77635a06a54c65d1f1c,,2018-05-03 10:49:54.968158,"Suva Reka, Serbia and Montenegro",,,strong,2018-04-12 06:13:49.584634
us-ofac.801465fb09d9130b2961abe95b790fa586c3a8a6,,2018-05-03 10:53:37.513879,"Kratine, Vitez",,,strong,2018-04-12 06:14:01.019039
us-ofac.efbbd74149a9fcc441e0f8066e609f0cf9424b6c,,2018-05-03 10:53:46.907127,"Gebang village, Masaran, Sragen, Central Java, Indonesia",,,strong,2018-04-12 06:13:58.617232
us-ofac.30d99d11a761cdc9e61b4c7860b897750184b2c5,,2018-05-03 10:54:34.864778,"Baja California, Mexico",,,strong,2018-04-12 06:13:59.940534
us-ofac.809eb58f79c59a07e5ec6ee92b9b4c2e99ef7cbf,,2018-05-03 10:55:20.561690,"Kaunayan, Patikul, Jolo Island, the Philippines",,,strong,2018-04-12 06:14:00.843414
us-ofac.2d41e24f6121cdf1fc604db830a14a0d5e76ee54,,2018-05-03 10:55:22.720511,"Arbil, Iraq",,,strong,2018-04-12 06:14:02.540638
us-ofac.3576d9b6d9de7fa44c3ad7107342b4e474133b45,,2018-05-03 10:55:26.757744,"Tripoli, Libya",,,strong,2018-04-12 06:14:01.793252
us-ofac.7277773bdfb823385350e0e5052aa2c44c6d66c8,,2018-05-03 10:55:29.563261,"Kutum, North Darfur, Sudan",,,strong,2018-04-12 06:14:02.749168
us-ofac.275137d52f3f33fde75edbdffc2a2cfde7c736fc,,2018-05-03 10:55:33.163507,"Cianjur, West Java, Indonesia",,,strong,2018-04-12 06:14:02.366272
us-ofac.6b10be60d47984ac0db7916e16397f187e815b82,,2018-05-03 10:56:03.055128,"San Martin, Meta, Colombia",,,strong,2018-04-12 06:14:03.261083
us-ofac.fdd8c9ca1e025f5c3cd1dab165f1d7dee14fcfc7,,2018-05-03 10:56:05.288401,"Puerto Berrio, Antioquia, Colombia",,,strong,2018-04-12 06:14:05.761482
us-ofac.f733367f84d2f4d73ed197295626d38fb5d107a2,,2018-05-03 10:56:06.255000,"Cartagena del Chaira, Caqueta, Colombia",,,strong,2018-04-12 06:14:06.003461
us-ofac.56e8bc2b83110599015584c2c7c7f47f504591c5,,2018-05-03 10:56:11.613249,"Tijuana, Baja California, Mexico",,,strong,2018-04-12 06:14:10.026699
us-ofac.34ebcde1e2a01485cb88e69bf7849a5de5a0b797,,2018-05-03 10:56:14.404923,"Aguila, Valle",,,strong,2018-04-12 06:14:06.396306
us-ofac.49107647f0674c965edc98ab4275e23c4a72ced7,,2018-05-03 10:56:24.929731,"Irkutsk, Russia",,,strong,2018-04-12 06:14:04.511832
us-ofac.7101f6e8c42d534e66379d6d0d14cdf868cb5d62,,2018-05-03 10:56:27.587667,"Rubtlatine, Lebanon",,,strong,2018-04-12 06:14:04.485949
us-ofac.7101f6e8c42d534e66379d6d0d14cdf868cb5d62,,2018-05-03 10:56:27.726618,"Beirut, Lebanon",,,weak,2018-04-12 06:14:04.502621
us-ofac.6f0215be718ce451cdc61326cce67dc62752bf49,,2018-05-03 10:56:40.395779,"El Fasher, Sudan",,,strong,2018-04-12 06:14:07.152370
us-ofac.6f0215be718ce451cdc61326cce67dc62752bf49,,2018-05-03 10:56:40.485065,"Al Fashir, Sudan",,,weak,2018-04-12 06:14:07.997956
us-ofac.09fa832db3227316ba35ca850d955e363eeb5890,,2018-05-03 10:56:45.612238,"Vygonoshchi, Belarus",,,strong,2018-04-12 06:14:13.185988
us-ofac.36cfa174aec0d6a7f9c2f616eefc4fdf82e096c9,,2018-05-03 10:57:02.204032,"Barranquilla, Colombia",,,strong,2018-04-12 06:14:12.247980
us-ofac.92a50160e782eb76eb5e4089ae0507645eb8c2f5,,2018-05-03 10:57:05.062290,"Itagui, Antioquia, Colombia",,,strong,2018-04-12 06:14:07.997606
us-ofac.7d43556cf1c50dc0c165101be26deaf348bc03fd,,2018-05-03 10:57:05.687522,Colombia,,,strong,2018-04-12 06:14:12.023244
us-ofac.5a02a1e90224ae3a0ed62a39e3e71b6100be5aa0,,2018-05-03 10:57:06.595530,Colombia,,,strong,2018-04-12 06:14:11.726315
us-ofac.8fff447240769c8df07b8266ce76b0631e9fd5b1,,2018-05-03 10:57:11.562118,"Bogota, Colombia",,,strong,2018-04-12 06:14:12.227295
us-ofac.7a7061acb61b29aa17f20b71043412f240a3a21a,,2018-05-03 10:57:15.436983,Colombia,,,strong,2018-04-12 06:14:11.664667
us-ofac.c588b4a0ce56cb516e7884f6cf5ab0c3ad3a2970,,2018-05-03 10:57:24.745248,"Culiacan, Sinaloa, Mexico",,,strong,2018-04-12 06:14:12.014950
us-ofac.3352a2997806f512f74dca24c42a1869e53c0595,,2018-05-03 10:57:26.411710,"Culiacan, Sinaloa, Mexico",,,strong,2018-04-12 06:14:13.052611
us-ofac.cb95cd8348df56ab753aacea180b3452cadae814,,2018-05-03 10:57:37.869646,"RAWAH CITY, IRAQ",,,strong,2018-04-12 06:14:12.652152
us-ofac.1b6a6de8dce67329c5bdbae65f6ac4573a95f2f3,,2018-05-03 10:57:41.344697,"Laupheim, Germany",,,strong,2018-04-12 06:14:13.552972
us-ofac.3358e74bbf62fb959ebcd51c4e017cf2c73708a8,,2018-05-03 10:57:46.677539,"El Paujil, Caqueta, Colombia",,,strong,2018-04-12 06:14:12.443233
us-ofac.96723e84c2d36b2d662844a84a891bffe2fe6161,,2018-05-03 10:57:49.225699,"Tello, Huila, Colombia",,,strong,2018-04-12 06:14:12.748595
us-ofac.e192d8e27b5b8626d4293c48f45fc06ac3faae13,,2018-05-03 10:57:50.035496,"Municipio de Nueva Granada, Norte de Santander, Colombia",,,strong,2018-04-12 06:14:12.810287
us-ofac.bec38cc4c9c6adb19274d78ea8fd1d39e9519a11,,2018-05-03 10:58:03.043503,"Cali, Colombia",,,strong,2018-04-12 06:14:13.236328
us-ofac.3b177781d51c4b5867a0a5a40177331989307045,,2018-05-03 10:58:04.043387,"Cali, Colombia",,,strong,2018-04-12 06:14:13.935669
us-ofac.1f4710631bfd3b1a64ff3ed1c10faadb650e9fa3,,2018-05-03 10:58:20.159588,"Kerman, Iran",,,strong,2018-04-12 06:14:14.336509
us-ofac.8fecf950961e09f77964b1ed9a07c61b5b8b5c30,,2018-05-03 10:58:29.892329,"Cali, Colombia",,,strong,2018-04-12 06:14:15.582836
us-ofac.4b220c9e91763df4e6248c9095d5a78542e85858,,2018-05-03 10:58:38.367059,"Hoorn, Netherlands",,,strong,2018-04-12 06:14:15.791166
us-ofac.acbe659a51b1d08eff4f6ce5903215f573f0c65e,,2018-05-03 10:58:57.825225,"Culiacan, Sinaloa, Mexico",,,strong,2018-04-12 06:14:17.680268
us-ofac.c158d596f21be05cb2466256432dcc745e553824,,2018-05-03 10:58:58.875208,"Culiacan, Sinaloa, Mexico",,,strong,2018-04-12 06:14:15.654801
us-ofac.56fd6a92462af930f954df890ad1b347ad262568,,2018-05-03 10:59:03.458206,"Tamazula, Durango, Mexico",,,strong,2018-04-12 06:14:16.798291
us-ofac.b119a2e972f1fd2fdad8c116160f85f165698d1a,,2018-05-03 10:59:16.358598,"Baghdad, Iraq",,,strong,2018-04-12 06:14:16.552383
us-ofac.8b45c339d0447929513deb0a0aee3d4a9c26b3bd,,2018-05-03 10:59:19.033589,"Ninwa, Iraq",,,strong,2018-04-12 06:14:17.274093
us-ofac.548936b9848f5be82540737044758f95b0e0953b,,2018-05-03 10:54:13.965001,"Baghdad, Iraq",,,strong,2018-04-12 06:13:59.957122
us-ofac.ab6b420ff017fb8c7b866d5a8cf72cd7d4c79183,,2018-05-03 10:54:16.587481,"Canelas, Durango, Mexico",,,weak,2018-04-12 06:13:59.393013
